"Open","High","Low","Close","Volume"
"1",NA,3692.9,NA,3697.9,1700
"2",3668.4,3673.4,3658.3,3664.6,1308
"3",NA,3670.7,3644.3,3667.3,964
"4",NA,3663.9,NA,3660.5,2364
"5",3644.4,3650.4,3604.1,3623.2,3669
"6",3632,3641.2,3613.8,3636.5,321
"7",3640.3,3653.4,3625.3,3627.3,1219
"8",NA,3639.4,NA,3632.7,1400
"9",3577.3,3579.2,3546.6,3576,1207
"10",NA,3581.7,3545.3,3554.2,2891
"11",3550.4,3573.2,3543.1,3580.1,1869
"12",NA,3622.4,3557.3,3564.9,815
"13",3611.2,3628.7,3593.8,3606.8,2621
"14",3618.8,3635.9,3618.8,3623,1583
"15",NA,3583.9,3519.3,3581.9,900
"16",3556.7,3573.4,3538.3,3532.5,701
"17",3567.2,3575.7,3533.6,3568.1,1163
"18",3539.4,3560.2,3514.1,3541,2372
"19",3629.3,3667.4,3629.3,3544,13007
"20",3466.7,3510.2,3457.3,3500.7,2117
"21",3491.2,3513.4,3431.3,3504.8,2649
"22",3344.9,3449.2,3320.3,3434.9,4297
"23",3337,3360.4,3336.8,3361.6,2663
"24",3303.9,3321.7,3246.1,3300.5,1743
"25",3252.7,3285.6,3228.8,3264.7,3776
"26",3286.3,3307.9,3256.6,3302.3,1785
"27",3367.3,3367.3,3270.3,3263.5,4868
"28",3396.8,3409.4,3368.3,3383.1,1237
"29",3417.3,3417.3,3392.8,3393.5,1608
"30",NA,3461.7,3437.8,3451.8,1300
"31",3428.3,3450.4,3405.3,3449.2,1748
"32",3428.3,3456.7,3421.3,3432.5,504
"33",NA,3450.9,3419.3,3432.2,500
"34",NA,3495.7,3428.8,3422.7,1754
"35",3483,3490.7,3463.6,3462.2,4723
"36",3445.3,3483.9,3434.6,3475.4,955
"37",3500.7,3523.2,3479.6,3480.9,904
"38",3511.8,3533.7,3501.6,3504.8,5797
"39",3484.3,3533.9,3467.1,3532.8,4236
"40",3450.3,3479.2,3446.1,3473.3,2512
"41",3426.7,3446.2,3408.6,3437.5,404
"42",3363.8,3408.7,3335.1,3406.8,832
"43",NA,3401.7,3331.6,3353.2,1419
"44",NA,3393.4,3347.3,3392.9,1000
"45",3361.2,3374.2,3301.1,3339.2,2369
"46",NA,3386.9,3344.8,3367.7,7035
"47",3316.3,3357.4,3292.1,3352,3339
"48",NA,3362.2,3330.3,3333.7,460
"49",3292.6,3350.4,3292.6,3346,2216
"50",3238.8,3289.4,3207.1,3287.3,1602
"51",3228.4,3242.9,3200.3,3238,408
"52",3295.3,3318.9,3230.6,3231.2,3121
"53",NA,3301.7,3257.3,3299.3,2810
"54",3310.8,3325.7,3248.1,3275.1,1213
"55",3346.7,3362,3315.3,3316.2,5943
"56",NA,NA,NA,3361.6,4000
"57",NA,NA,NA,3389.6,3600
"58",NA,NA,NA,3405.3,1100
"59",NA,NA,NA,3382.4,1740
"60",NA,NA,NA,3333.7,1550
"61",3387,3415.7,3375.6,3340.6,1102
"62",3345.7,3399.7,3296.3,3400.3,3010
"63",3401,3446.4,3333.8,3335.5,4249
"64",3446.7,3483.4,3415.1,3417.6,4618
"65",3567.1,3585.7,3456.8,3461.5,3822
"66",3539.4,3578.7,3538.6,3579.2,1406
"67",3504.6,3529.2,3484.8,3526.9,2866
"68",NA,3524.2,3493.1,3498.9,2060
"69",NA,3508.7,NA,3504.4,1048
"70",NA,3487.7,3469.3,3485.3,808
"71",3444.7,3482.7,3437.6,3480.3,911
"72",NA,3447.9,3427.3,3442.9,900
"73",3420.4,3427.7,3420.4,3427.5,1251
"74",NA,3393.9,3357.3,3392.6,1841
"75",NA,3383.9,3345.3,3380.8,710
"76",NA,3393.2,3369.1,3372.7,1806
"77",3386.3,3388.2,3372.1,3386.9,1006
"78",NA,3380.4,NA,3379.8,806
"79",3372.7,3379.7,3350.6,3361.4,2654
"80",NA,3375.2,3363.6,3367.7,900
"81",NA,3370.4,3327.1,3370.1,2340
"82",3375.6,3378.2,3333.6,3329.9,2921
"83",3346.2,3354.7,3335.8,3352.7,1401
"84",3341.3,3346.9,3324.6,3344.8,951
"85",NA,3344.7,3301.3,3344.3,500
"86",3315,3321.2,3292.8,3316,1025
"87",3288.9,3299.4,3271.8,3299.9,608
"88",NA,3289.7,3255.3,3288.4,1570
"89",3258.7,3272.7,3246.3,3263.5,901
"90",3244.6,3268.2,3208.6,3248.8,1405
"91",3217.6,3255.7,3205.1,3252.4,1943
"92",NA,3245.9,3212.1,3213,2870
"93",3217.1,3234.2,3217.1,3232.2,1701
"94",NA,3238.2,3200.1,3203.9,2200
"95",3266.7,3284,3225.8,3227.6,2753
"96",NA,3268.9,3228.1,3265.6,1600
"97",3270,3272.4,3241.8,3251.3,1358
"98",NA,3243.9,3190.8,3245.2,1048
"99",NA,3216.9,NA,3213.9,1010
"100",3222.2,3227.7,3189.1,3194.5,608
"101",3206.1,3231.7,3198.8,3219.4,2909
"102",NA,3184.9,3131.6,3183.6,1700
"103",3183.7,3203.4,3146.8,3148.2,3153
"104",3127.3,3180.4,3112.3,3178.4,1101
"105",NA,3170.2,3140.8,3141.1,1940
"106",3146.3,3165.4,3126.1,3163.4,504
"107",3146.8,3183.2,3135.1,3136.4,2706
"108",NA,3171.9,3106.3,3171.9,2000
"109",3099.7,3146.9,3096.3,3128.9,1526
"110",3079.2,3104.4,3063.6,3103.1,828
"111",NA,3086.2,3031.1,3090.2,2502
"112",3019.6,3050.4,2984.3,3047.7,2686
"113",NA,3080.9,3002.3,3006.9,4614
"114",3031.7,3073.2,3006.1,3070.7,2312
"115",3126.8,3127.7,3045.6,3049,1474
"116",3134.2,3144.9,3061.3,3118.5,2426
"117",3079,3113.2,3028.1,3110.7,964
"118",3111.3,3137,3057.6,3059.4,3976
"119",NA,NA,NA,3109.1,925
"120",NA,NA,NA,3118,3000
"121",NA,NA,NA,3128.8,1800
"122",NA,NA,NA,3073.1,4450
"123",NA,NA,NA,3034.8,5240
"124",3184.7,3188.3,3099,3010.3,4898
"125",3211.2,3226.8,3182.2,3186,2108
"126",3224.7,3230.5,3190.4,3205.4,2943
"127",3196.2,3227.6,3183.8,3227.5,1779
"128",3114.4,3187.9,3106.8,3186.8,7645
"129",3113.9,3126.2,3094.8,3110.5,1696
"130",3076.8,3118.5,3074.9,3117.7,2421
"131",3051.3,3078.4,3035.5,3076.9,2064
"132",3033.5,3054.7,3008.7,3054,847
"133",3035.3,3057.7,3011.8,3042,2694
"134",3035.4,3052.6,3028.8,3038.1,2320
"135",2992.9,3039,2984,3035.4,3320
"136",2950.5,3018.4,2948.3,2994.4,4792
"137",2941.8,2956.7,2904.3,2952.9,1737
"138",2971.5,2972.7,2937,2936.9,1267
"139",2910.8,2972.4,2909.2,2968.5,1258
"140",2945.3,2975.6,2914.7,2918.8,2797
"141",2854.9,2947.3,2851.1,2947.9,5102
"142",2847.2,2862.2,2811.3,2846.4,1373
"143",2821.9,2849.9,2777.7,2846.9,1173
"144",2837.9,2875.9,2814.1,2813.1,2847
"145",2920.1,2935.9,2838.8,2852.6,2786
"146",2918.1,2946.2,2890.4,2922.8,1647
"147",2898.4,2932.2,2894.5,2928.4,2242
"148",2835.8,2883.9,2823.7,2880,2427
"149",2862.7,2885.7,2833.7,2833.4,1515
"150",2831.7,2865.7,2826.2,2858.3,1766
"151",2786.6,2827.6,2771.5,2825.3,2210
"152",2869.2,2879,2816.6,2821.7,5393
"153",2954.4,2964.4,2878.8,2902.4,3616
"154",2864.3,2958.9,2861.4,2941,2002
"155",2865.4,2912.7,2851.8,2867.2,2029
"156",2833.8,2869.2,2813.8,2868.9,1724
"157",2777.1,2829,2755.8,2829.5,1905
"158",2786.4,2806.2,2773.3,2780.8,871
"159",2737,2789.9,2718.3,2788.4,2741
"160",2815.6,2832.4,2728.7,2732.1,2694
"161",2855.7,2875,2806.7,2806.5,2095
"162",2864.4,2884.5,2849.8,2870.1,5679
"163",2770.9,2830.4,2748.1,2787.4,3017
